"","year","stfips","stabb","cntyfips","cntyname","commoditycode","commodityname","insplancode","insplanname","covcateg","claim","acres.total","unitssold","meancov","lostacres","ratio","fullfips","logacres","logunitssold","cat","y2016","y2017","fullfips.ch","commoditycode.ch","insplancode.ch"
"90047",2017,53,"WA",77,"Yakima",11,"WHEAT",2,"RP","A",0,1076,15,0.66342936802974,0,0,53077,6.98100574072173,2.70805020110221,0,0,1,"53077","11","2"
"90048",2017,53,"WA",77,"Yakima",11,"WHEAT",1,"YP","C",0,3589,9,0.5,0,0,53077,8.18562889114761,2.19722457733622,1,0,1,"53077","11","1"
"111099",2018,53,"WA",77,"Yakima",54,"APPLES",90,"APH","A",0,142,11,0.55,0,0,53077,4.95582705760126,2.39789527279837,0,0,0,"53077","54","90"
"111100",2018,53,"WA",77,"Yakima",57,"CHERRIES",47,"ARH","A",0,21,2,0.55,0,0,53077,3.04452243772342,0.693147180559945,0,0,0,"53077","57","47"
"111101",2018,53,"WA",77,"Yakima",41,"CORN",2,"RP","A",0,2320,25,0.603103448275862,0,0,53077,7.74932246466036,3.2188758248682,0,0,0,"53077","41","2"
"111102",2018,53,"WA",77,"Yakima",41,"CORN",1,"YP","A",0,3740,36,0.601524064171123,0,0,53077,8.22684089040858,3.58351893845611,0,0,0,"53077","41","1"
"111103",2018,53,"WA",77,"Yakima",41,"CORN",1,"YP","C",0,10738,18,0.5,0,0,53077,9.28154413098251,2.89037175789616,1,0,0,"53077","41","1"
"111104",2018,53,"WA",77,"Yakima",47,"DRY BEANS",90,"APH","C",0,13,1,0.5,0,0,53077,2.56494935746154,0,1,0,0,"53077","47","90"
"111105",2018,53,"WA",77,"Yakima",218,"FRESH APRICOTS",90,"APH","A",0,61,7,0.621311475409836,0,0,53077,4.11087386417331,1.94591014905531,0,0,0,"53077","218","90"
"111106",2018,53,"WA",77,"Yakima",218,"FRESH APRICOTS",90,"APH","C",0,8,1,0.5,0,0,53077,2.07944154167984,0,1,0,0,"53077","218","90"
"111107",2018,53,"WA",77,"Yakima",223,"FRESH FREESTONE PEACHES",90,"APH","A",0,439,22,0.507744874715262,0,0,53077,6.08449941307517,3.09104245335832,0,0,0,"53077","223","90"
"111108",2018,53,"WA",77,"Yakima",223,"FRESH FREESTONE PEACHES",90,"APH","C",0,15,2,0.5,0,0,53077,2.70805020110221,0.693147180559945,1,0,0,"53077","223","90"
"111109",2018,53,"WA",77,"Yakima",220,"FRESH NECTARINES",90,"APH","A",0,334,16,0.5,0,0,53077,5.8111409929767,2.77258872223978,0,0,0,"53077","220","90"
"111110",2018,53,"WA",77,"Yakima",220,"FRESH NECTARINES",90,"APH","C",0,28,2,0.5,0,0,53077,3.3322045101752,0.693147180559945,1,0,0,"53077","220","90"
"111111",2018,53,"WA",77,"Yakima",53,"GRAPES",90,"APH","A",0,5429,299,0.611576717627556,0,0,53077,8.59951023390545,5.70044357339069,0,0,0,"53077","53","90"
"111112",2018,53,"WA",77,"Yakima",53,"GRAPES",90,"APH","C",0,4763,30,0.5,0,0,53077,8.46863300080086,3.40119738166216,1,0,0,"53077","53","90"
"111113",2018,53,"WA",77,"Yakima",74,"MINT",90,"APH","C",0,2715,14,0.5,0,0,53077,7.90654723236804,2.63905732961526,1,0,0,"53077","74","90"
"111114",2018,53,"WA",77,"Yakima",89,"PEARS",90,"APH","A",0,1186,161,0.64287521079258,0,0,53077,7.07834157955767,5.08140436498446,0,0,0,"53077","89","90"
"111115",2018,53,"WA",77,"Yakima",89,"PEARS",90,"APH","C",0,801,24,0.5,0,0,53077,6.68586094706836,3.17805383034795,1,0,0,"53077","89","90"
"111116",2018,53,"WA",77,"Yakima",92,"PLUMS",90,"APH","A",0,82,8,0.602439024390244,0,0,53077,4.40671924726425,2.07944154167984,0,0,0,"53077","92","90"
"111117",2018,53,"WA",77,"Yakima",92,"PLUMS",90,"APH","C",0,23,3,0.5,0,0,53077,3.13549421592915,1.09861228866811,1,0,0,"53077","92","90"
"111118",2018,53,"WA",77,"Yakima",84,"POTATOES",90,"APH","C",0,668,3,0.5,0,0,53077,6.50428817353665,1.09861228866811,1,0,0,"53077","84","90"
"111119",2018,53,"WA",77,"Yakima",11,"WHEAT",2,"RP","A",0,1544,19,0.757253886010363,0,0,53077,7.34213173058472,2.94443897916644,0,0,0,"53077","11","2"
"111120",2018,53,"WA",77,"Yakima",11,"WHEAT",1,"YP","C",0,2369,7,0.5,0,0,53077,7.77022320415879,1.94591014905531,1,0,0,"53077","11","1"
